ITEM, PRICE, LINK
2 vibration motors, 11$, https://www.bitmi.ro/modul-senzor-motor-vibratie-compatibil-arduino-11537.html
2 xiao esp32c3, 18$, https://www.kiwi-electronics.com/en/seeed-studio-xiao-esp32c3-11039?search=esp32c3
